id,url,title,episode_title
126,https://www.rottentomatoes.com/tv/jay_lenos_garage/s06/e08,jay leno's garage,limited edition
127,https://www.rottentomatoes.com/tv/e_true_hollywood_story/s02/e11,e! true hollywood story,tgif
128,https://www.rottentomatoes.com/tv/e_true_hollywood_story/s02/e07,e! true hollywood story,victoria's secret
129,https://www.rottentomatoes.com/tv/e_true_hollywood_story/s02/e08,e! true hollywood story,hollywood mysteries
130,https://www.rottentomatoes.com/tv/e_true_hollywood_story/s02/e10,e! true hollywood story,"billionaires: fierce, fearless and filthy rich"
131,https://www.rottentomatoes.com/tv/clash_of_the_cover_bands/s01,clash of the cover bands,clash of the showstoppers
134,https://www.rottentomatoes.com/tv/clash_of_the_cover_bands/s01/e08,clash of the cover bands,clash of the queens of country
135,https://www.rottentomatoes.com/tv/jay_lenos_garage/s06/e01,jay leno's garage,big dreams
136,https://www.rottentomatoes.com/tv/jay_lenos_garage/s06/e10,jay leno's garage,thrill rides
137,https://www.rottentomatoes.com/tv/jay_lenos_garage/s06/e11,jay leno's garage,survival
138,https://www.rottentomatoes.com/tv/jay_lenos_garage/s06/e12,jay leno's garage,tribute
139,https://www.rottentomatoes.com/tv/earth_odyssey_with_dylan_dreyer/s04,earth odyssey with dylan dreyer,awesome adaptations
140,https://www.rottentomatoes.com/tv/earth_odyssey_with_dylan_dreyer/s04,earth odyssey with dylan dreyer,frozen kingdoms
141,https://www.rottentomatoes.com/tv/earth_odyssey_with_dylan_dreyer/s04,earth odyssey with dylan dreyer,life on the edge
142,https://www.rottentomatoes.com/tv/earth_odyssey_with_dylan_dreyer/s04,earth odyssey with dylan dreyer,snowfall for all
145,https://www.rottentomatoes.com/tv/1st_look/s13/e14,1st look,1st look presents: celebrity sleepover with tom & ariana
146,https://www.rottentomatoes.com/tv/1st_look/s13/e15/pictures,1st look,1st look presents: bananas' reactions with syrus yarbrough
147,https://www.rottentomatoes.com/tv/1st_look/s13/e16,1st look,destination miami
148,https://www.rottentomatoes.com/tv/lipstick_jungle/s01/e07,lipstick jungle,chapter seven: carpe threesome
149,https://www.rottentomatoes.com/tv/lipstick_jungle/s01/e05,lipstick jungle,chapter five: dressed to kill
150,https://www.rottentomatoes.com/tv/lipstick_jungle/s01/e06,lipstick jungle,chapter six: take the high road
151,https://www.rottentomatoes.com/tv/lipstick_jungle/s02/e12,lipstick jungle,chapter nineteen: lovers' leap
152,https://www.rottentomatoes.com/tv/lipstick_jungle/s02/e13/pictures,lipstick jungle,chapter twenty: la vie en pose
153,https://www.rottentomatoes.com/tv/lipstick_jungle/s02/e09,lipstick jungle,chapter sixteen: thanksgiving
154,https://www.rottentomatoes.com/tv/lipstick_jungle/s02/e04,lipstick jungle,chapter eleven: the f-word
155,https://www.rottentomatoes.com/tv/lipstick_jungle/s02/e11,lipstick jungle,chapter eighteen: indecent exposure
156,https://www.rottentomatoes.com/tv/the_face/s02/e10/pictures,the face,who will be the face?
157,https://www.rottentomatoes.com/tv/revelations/s01/e06,revelations,hour six
158,https://www.rottentomatoes.com/tv/revelations/s01/e02,revelations,hour two
159,https://www.rottentomatoes.com/tv/revelations/s01/e01,revelations,hour one
160,https://www.rottentomatoes.com/tv/revelations/s01/e05,revelations,hour five
161,https://www.rottentomatoes.com/tv/revelations/s01/e04,revelations,hour four
162,https://www.rottentomatoes.com/tv/thats_my_jam/s01/e03,that's my jam,taika waititi & rita ora vs. normani & taraji p. henson
163,https://www.rottentomatoes.com/tv/thats_my_jam/s01/e06,that's my jam,kate & oliver hudson vs. jordana brewster & brent morin
164,https://www.rottentomatoes.com/tv/thats_my_jam/s01/e05,that's my jam,jay pharoah & nikki glaser vs. terry crews & dan finnerty
165,https://www.rottentomatoes.com/tv/thats_my_jam/s01/e02,that's my jam,joseph gordon-levitt & chance the rapper vs. alessia cara...
166,https://www.rottentomatoes.com/tv/thats_my_jam/s01/e04,that's my jam,anthony anderson & t-pain vs. ryan tedder & bebe rexha
167,https://www.rottentomatoes.com/tv/transplant/s02/e05,transplant,roads
168,https://www.rottentomatoes.com/tv/transplant/s03/e10,transplant,control
169,https://www.rottentomatoes.com/tv/transplant/s02/e08,transplant,scars
170,https://www.rottentomatoes.com/tv/the_wall/s04/e08,the wall,terra and brandi
171,https://www.rottentomatoes.com/tv/the_wall/s04/e06,the wall,debbie and ghadir
172,https://www.rottentomatoes.com/tv/the_wall/s04/e07,the wall,jason and jay
173,https://www.rottentomatoes.com/tv/the_wall/s04/e03,the wall,tamara and leo
174,https://www.rottentomatoes.com/tv/the_wall/s04/e11,the wall,tammy and doug
175,https://www.rottentomatoes.com/tv/the_wall/s04/e02,the wall,brittany and cj
176,https://www.rottentomatoes.com/tv/grand_crew/s01/e02,grand crew,wine & serendipity
177,https://www.rottentomatoes.com/tv/grand_crew/s01/e07,grand crew,wine & headlines
178,https://www.rottentomatoes.com/tv/the_wall/s04/e05,the wall,kd and cj
179,https://www.rottentomatoes.com/tv/the_wall/s04/e09,the wall,team usa celebration: apolo and bianca
180,https://www.rottentomatoes.com/tv/young_rock/s02/e05,young rock,what business?
181,https://www.rottentomatoes.com/tv/young_rock/s02/e03,young rock,in your blood
182,https://www.rottentomatoes.com/tv/young_rock/s02/e08,young rock,corpus christi
183,https://www.rottentomatoes.com/tv/high_maintenance/s04,the wall,jordan and maurcus
184,https://www.rottentomatoes.com/tv/the_wall/s04/e20,the wall,amber and chelsea
185,https://www.rottentomatoes.com/tv/kenan/s02/e05,kenan,hustle and flow
186,https://www.rottentomatoes.com/tv/kenan/s02/e01,kenan,dating app
187,https://www.rottentomatoes.com/tv/kenan/s02/e03,kenan,those chops pop
188,https://www.rottentomatoes.com/tv/kenan/s02/e04,kenan,ghosts of boyfriends past
189,https://www.rottentomatoes.com/tv/kenan/s02/e06,kenan,workaholic
190,https://www.rottentomatoes.com/tv/kenan/s02/e02,kenan,work friends
191,https://www.rottentomatoes.com/tv/kenan/s01.1,kenan,christmas show
192,https://www.rottentomatoes.com/tv/kenan/s02/e07,kenan,the whole enchilada
193,https://www.rottentomatoes.com/tv/the_wall/s04/e18,the wall,melvin and meredith
194,https://www.rottentomatoes.com/tv/wild_child/s02/e02,wild child,coming of asia
195,https://www.rottentomatoes.com/tv/wild_child/s01/e04,wild child,african animals
196,https://www.rottentomatoes.com/tv/wild_child/s02/e12,wild child,asia minors
197,https://www.rottentomatoes.com/tv/thats_my_jam/s01/e01,that's my jam,ariana grande & blake shelton vs. kelly clarkson & john...
198,https://www.rottentomatoes.com/tv/one_team_the_power_of_sports/s02/e08,one team: the power of sports,never too old for gold
199,https://www.rottentomatoes.com/tv/one_team_the_power_of_sports/s03,one team: the power of sports,nice hockey
200,https://www.rottentomatoes.com/tv/wild_child/s02/e17/reviews,wild child,tough terrain
201,https://www.rottentomatoes.com/tv/wild_child/s02/e18,wild child,zoos and farms
202,https://www.rottentomatoes.com/tv/open_house_nyc/s07/e23,open house nyc,best of spring settings
203,https://www.rottentomatoes.com/tv/one_team_the_power_of_sports/s02/e15,one team: the power of sports,changing the terrain
204,https://www.rottentomatoes.com/tv/one_team_the_power_of_sports/s02/e17,one team: the power of sports,journey to glory
205,https://www.rottentomatoes.com/tv/open_house_nyc/s13,open house nyc,fun with design
206,https://www.rottentomatoes.com/tv/one_team_the_power_of_sports/s02/e20,one team: the power of sports,passing the baton
207,https://www.rottentomatoes.com/tv/open_house_NYC/s14,open house nyc,fresh and personal design
208,https://www.rottentomatoes.com/tv/open_house_nyc/s14/e21,open house nyc,open house celebrates mother's day (best of)
209,https://www.rottentomatoes.com/tv/open_house_nyc/s14/e23,open house nyc,starry retreats
210,https://www.rottentomatoes.com/tv/open_house_nyc/s14/e22,open house nyc,stunning spaces
211,https://www.rottentomatoes.com/tv/young_rock/s02/e12,young rock,let the people decide
212,https://www.rottentomatoes.com/tv/the_voice_usa/s22,the voice,the blind auditions season premiere
215,https://www.rottentomatoes.com/tv/grand_crew/s01/e05,grand crew,wine & hip-hop
216,https://www.rottentomatoes.com/tv/million_dollar_listing_los_angeles/s05/e03,million dollar listing los angeles,i got the listing and i got the girl
217,https://www.rottentomatoes.com/tv/biography_wwe_legends/s02,wwe hall of fame,wwe hall of fame 2022
218,https://www.rottentomatoes.com/tv/kenan/s02/e09,kenan,destroying miami
219,https://www.rottentomatoes.com/tv/lipstick_jungle/s02/e06,lipstick jungle,"chapter thirteen: the lyin', the bitch and the wardrobe"
220,https://www.rottentomatoes.com/tv/the_wall/s04/e13,the wall,mikail and shakira
221,https://www.rottentomatoes.com/tv/forensic_files/s13/e20,forensic files,trail of a killer
222,https://www.rottentomatoes.com/tv/sisterhood_of_hip_hop/s03/e08,sisterhood of hip hop,gotta have it
223,https://www.rottentomatoes.com/tv/celebrity_game_face/s04,the face,game on!
224,https://www.rottentomatoes.com/tv/the_face/s01/e07/,the face,red carpet ready?
225,https://www.rottentomatoes.com/tv/the_face/s01/e01,the face,the fight to make the final 12
226,https://www.rottentomatoes.com/tv/sisterhood_of_hip_hop/s02/e03,sisterhood of hip hop,it's all about the benjamins
227,https://www.rottentomatoes.com/tv/el_socio/s03/e03,the profit,tonnie's minis
228,https://www.rottentomatoes.com/tv/kitchen-nightmares/s01/e20,kitchen nightmares,sabatiello's
229,https://www.rottentomatoes.com/tv/sisterhood_of_hip_hop/s01/e07,sisterhood of hip hop,momma drama
230,https://www.rottentomatoes.com/tv/sisterhood_of_hip_hop/s02/e06,sisterhood of hip hop,aftermath
231,https://www.rottentomatoes.com/tv/the_face/s02/e04,the face,"sell, sell, sell!"
232,https://www.rottentomatoes.com/tv/the_face/s02/e08/pictures,the face,diamonds are a model's best friend
233,https://www.rottentomatoes.com/tv/the_face/s02/e09,the face,press your luck
234,https://www.rottentomatoes.com/tv/el_socio/s02/e08,the profit,key west key lime pie co
235,https://www.rottentomatoes.com/tv/el_socio/s03/e13,the profit,da lobsta
236,https://www.rottentomatoes.com/tv/escape_to_the_chateau/s07/e01/pictures,escape to the chateau,supersized workshop
237,https://www.rottentomatoes.com/tv/escape_to_the_chateau/s07/e02,escape to the chateau,"sloe gin, library & ceiling rose"
238,https://www.rottentomatoes.com/tv/escape_to_the_chateau/s07/e03,escape to the chateau,"wash house, trench & vintage bike"
239,https://www.rottentomatoes.com/tv/escape_to_the_chateau/s07/e04,escape to the chateau,"orangery, daybeds & unexpected history"
240,https://www.rottentomatoes.com/tv/escape_to_the_chateau/s07/e05,escape to the chateau,"pop-up restaurant, orangery, celebration"
241,https://www.rottentomatoes.com/tv/escape_to_the_chateau/s09/e08,escape to the chateau,escape to the chateau at christmas
242,https://www.rottentomatoes.com/tv/the_face/s02/e03,the face,runway dinner party
243,https://www.rottentomatoes.com/tv/30-rock/s03/e16,30 rock,"apollo, apollo"
244,https://www.rottentomatoes.com/tv/30-rock/s03/e18,30 rock,jackie jormp-jomp
245,https://www.rottentomatoes.com/tv/the_office/s07/e14,the office,the seminar
246,https://www.rottentomatoes.com/tv/the_office/s06,the office,the delivery part 2 (edited)
247,https://www.rottentomatoes.com/tv/the_office_superfan_episodes/s06,the office,niagara part 2 (edited)
248,https://www.rottentomatoes.com/tv/below_deck/s02/e12,below deck,the crew tells all
249,https://www.rottentomatoes.com/tv/the_office/s03/e20/videos,the office,safety training
250,https://www.rottentomatoes.com/tv/the_office/s02/e04,the office,fire
251,https://www.rottentomatoes.com/tv/30-rock/s02/e10,30 rock,episode 210
252,https://www.rottentomatoes.com/tv/the_office_superfan_episodes/s05/e15,the office,stress relief - part 2 (edited)
253,https://www.rottentomatoes.com/tv/the_office/s08/e01,the office,the list
254,https://www.rottentomatoes.com/tv/royal_pains/s07/e02,royal pains,false start
255,https://www.rottentomatoes.com/tv/downton_abbey/s02/e09,downton abbey,episode #09-making of downton abbey
256,https://www.rottentomatoes.com/tv/30-rock/s02/e02,30 rock,jack gets in the game
257,https://www.rottentomatoes.com/tv/30-rock/s02/e03,30 rock,the collection
258,https://www.rottentomatoes.com/tv/murder_she_wrote/s07/e02,"murder, she wrote",deadly misunderstanding
259,https://www.rottentomatoes.com/tv/murder_she_wrote/s08/e11,"murder, she wrote",danse diabolique
260,https://www.rottentomatoes.com/tv/murder_she_wrote/s10/e16,"murder, she wrote",time to die
261,https://www.rottentomatoes.com/tv/murder_she_wrote/s09/e09,"murder, she wrote",a christmas secret
262,https://www.rottentomatoes.com/tv/the_king_of_queens/s05/e15,the king of queens,s'aint valentine's
263,https://www.rottentomatoes.com/tv/30-rock/s06/e03,30 rock,idiots are people three!
264,https://www.rottentomatoes.com/tv/murder_she_wrote/s10/e13,"murder, she wrote",portrait of death
265,https://www.rottentomatoes.com/tv/the_king_of_queens/s04/e04,the king of queens,friender bender
266,https://www.rottentomatoes.com/tv/yellowstone/s01/e07,yellowstone,a monster is among us
267,https://www.rottentomatoes.com/tv/frasier/s11/e22,frasier,crock tales
268,https://www.rottentomatoes.com/tv/30-rock/s02/e14,30 rock,sandwich day
269,https://www.rottentomatoes.com/tv/the_king_of_queens/s09/e03,the king of queens,moxie moron
270,https://www.rottentomatoes.com/tv/yellowstone/s01/e08,yellowstone,the unravelling: pt. 1
271,https://www.rottentomatoes.com/tv/30-rock/s03/e04,30 rock,gavin volure
272,https://www.rottentomatoes.com/tv/30-rock/s01/e15,30 rock,hard ball
273,https://www.rottentomatoes.com/tv/murder_she_wrote/s05/e08,"murder, she wrote",prediction: murder
274,https://www.rottentomatoes.com/tv/30-rock/s02/e04,30 rock,the baby show
275,https://www.rottentomatoes.com/tv/murder_she_wrote/s11/e18,"murder, she wrote",the dream team
276,https://www.rottentomatoes.com/tv/murder_she_wrote/s10/e11,"murder, she wrote",northern explosion
277,https://www.rottentomatoes.com/tv/below_deck_mediterranean/s03/e03,below deck mediterranean,bad vibrations
278,https://www.rottentomatoes.com/tv/murder_she_wrote/s11/e02,"murder, she wrote",amsterdam kill
279,https://www.rottentomatoes.com/tv/the_king_of_queens/s05/e11,the king of queens,mentalo case
280,https://www.rottentomatoes.com/tv/30-rock/s01/e06,30 rock,jack meets dennis
281,https://www.rottentomatoes.com/tv/murder_she_wrote/s11/e09,"murder, she wrote",murder by twos
282,https://www.rottentomatoes.com/tv/below_deck_mediterranean/s03/e14,below deck mediterranean,stew coup
283,https://www.rottentomatoes.com/tv/frasier/s04/e05,frasier,head game
284,https://www.rottentomatoes.com/tv/yellowstone/s02/e05,yellowstone,touching your enemy
285,https://www.rottentomatoes.com/tv/yellowstone/s01/e03,yellowstone,no good horses
286,https://www.rottentomatoes.com/tv/murder_she_wrote/s06/e18,"murder, she wrote",o'malley's luck
287,https://www.rottentomatoes.com/tv/frasier/s09/e10,frasier,junior agent
288,https://www.rottentomatoes.com/tv/murder_she_wrote/s11/e08,"murder, she wrote",crimson harvest
289,https://www.rottentomatoes.com/tv/royal_pains/s04/e01,royal pains,after the fireworks
290,https://www.rottentomatoes.com/tv/royal_pains/s03/e14,royal pains,bottoms up
291,https://www.rottentomatoes.com/tv/downton_abbey/s02/e09,downton abbey,xmas special
292,https://www.rottentomatoes.com/tv/murder_she_wrote/s04/e18,"murder, she wrote",benedict arnold slipped here
293,https://www.rottentomatoes.com/tv/30-rock/s06/e11,30 rock,standards and practices
294,https://www.rottentomatoes.com/tv/murder_she_wrote/s10/e12,"murder, she wrote",proof in the pudding
295,https://www.rottentomatoes.com/tv/30-rock/s07/e08,30 rock,my whole life is thunder
296,https://www.rottentomatoes.com/tv/below_deck/s04/e07,below deck,the proposal
297,https://www.rottentomatoes.com/tv/frasier/s04/e09,frasier,"dad loves sherry, the boys just whine"
298,https://www.rottentomatoes.com/tv/the_king_of_queens/s08/e23,the king of queens,acting out
299,https://www.rottentomatoes.com/tv/downton_abbey/s04/e04,downton abbey,episode #04
300,https://www.rottentomatoes.com/tv/frasier/s11/e14,frasier,freudian sleep
301,https://www.rottentomatoes.com/tv/frasier/s03/e10,frasier,it's hard to say goodbye if you won't leave
302,https://www.rottentomatoes.com/tv/frasier/s07/e22,frasier,dark side of the moon
303,https://www.rottentomatoes.com/tv/downton_abbey/s01/e03,downton abbey,episode #03
304,https://www.rottentomatoes.com/tv/frasier/s10/e22,frasier,fathers and sons
305,https://www.rottentomatoes.com/tv/frasier/s02/e23,frasier,the innkeepers
306,https://www.rottentomatoes.com/tv/frasier/s07/e01,frasier,momma mia
307,https://www.rottentomatoes.com/tv/frasier/s03/e12,frasier,come lie with me
308,https://www.rottentomatoes.com/tv/frasier/s03/e03,frasier,martin does it his way
309,https://www.rottentomatoes.com/tv/murder_she_wrote/s01/e14,"murder, she wrote",murder to a jazz beat
310,https://www.rottentomatoes.com/tv/murder_she_wrote/s01/e12,"murder, she wrote",capitol offense
311,https://www.rottentomatoes.com/tv/friday-night-lights/s05/e11,friday night lights,the march
