,series,episode,rt_synopsis
42,top chef,sudden death,"

                In Boston, 16 aspiring chefs compete for a shot at culinary stardom; the contestants are thrust into hot water with a Sudden Death Quick Fire Challenge; the Elimination Challenge unfolds during the first ever Top Chef Food Festival.
            
Show More
"
43,revelations,hour four,"

                The kidnappers present Massey's stepson with a horrible choice; Haden's trial begins, but his charisma and rhetoric gain him respect from his fellow prisoners; the Sisters of Mercy ask for help, fearing their convent has been infiltrated.
            
Show More
"
44,a little late with lilly singh,justin baldoni,"

                Actor Justin Baldoni.
            
Show More
"
45,chicago med,heavy is the head,"

                Halstead arranges a great deal on a wedding venue; Manning and Elsa treat an ill pregnant woman convinced that God will save her; the staff is conflicted about the law-breaking father of a 5-year-old patient; Rhodes opens his hybrid OR early.
            
Show More
"
46,below deck,the crew tells all,"

                Lost footage from the charter season shows outrageous hijinks perpetrated by guests and crew members; the crew talks about living and working onboard the Ohana yacht during never-before-seen interviews.
            
Show More
"
47,jay leno's garage,thrill rides,"

                Jay attempts to make all of Ashton Kutcher's car dreams come true; Jay needs the police after Marie Osmond tries to make off with one of Ford's new 2021 Mustang Mach 1's.
            
Show More
"
48,young rock,good vs. great,"

                Miami, 1990s: After a devastating injury his freshman year, Dwayne strives to get his college football career back on track; as he fights for playing time, he wonders if big dreams and hard work are enough to get him to the NFL.
            
Show More
"
49,superstore,scanners,"

                Dina agrees to play the bad guy when corporate forces Amy to cut everyone's hours; Jonah and the other employees play an elaborate game of laser tag with the store's new scanners; Mateo makes a startling discovery about Marcus.
            
Show More
"
50,the amber ruffin show,episode #09,"

                Amber shares her mom's advice for holiday travel, creates a holiday hotline and focuses her anger on something trivial from 1993.
            
Show More
"
51,little big shots,the karate kid,"

                Amazing kids featured include an incredible fiddler, a genius in math, a martial arts master, incredible dancers and a talented Motown performer.
            
Show More
"
52,american pickers,boys' toys,"

                A Tennessee hoarder tries to clear out his log cabin home; Mike sets his sights on a horse; a robot collector's sci-fi man cave yields a mint-condition astronaut toy; Mike and Frank get VIP access to Billy's ten storage buildings.
            
Show More
"
53,"murder, she wrote",portrait of death,"

                An art gallery owner is stabbed to death with a sculpture belonging to Jessica's friend (Loretta Swit).
            
Show More
"
54,"murder, she wrote","murder, she spoke","

                A murder occurs while Jessica is recording one of her novels for the Mystery Books for the Blind series.
            
Show More
"
55,keeping up with the kardashians,the missing ring,"

                Khloé loses her seven-carat engagement ring, and is afraid to tell Lamar.
            
Show More
"
56,the face,press your luck,"

                The models are caught off guard and one loses face with her coach; the models must deliver a speech for the press.
            
Show More
"
57,blind date,episode #50,"
In addition to competing with appetizers, entrees and desserts, dog-loving chefs make treats for a canine judge.
"
58,good girls,synergy,"

                Beth and Dean offer to buy Four Star Pool and Spa from Gayle; Dean is determined to make it a legitimate business; tensions rise between Ruby and Stan, culminating in the trio making a drastic decision; Phoebe gets even closer to cracking the case.
            
Show More
"
59,forensic files,nursery crimes,"

                With children dying at an alarming rate at a Texas hospital, authorities narrow down their probe to one nurse, but the murder weapon remains elusive.
            
Show More
"
60,the face,the fight to make the final 12,"

                24 hopefuls are put through the biggest callback of their lives, but only 12 will be picked by supermodel coaches Naomi Campbell, Karolina Kurkova or Coco Rocha to be on one of their teams.
            
Show More
"
61,heroes,let it bleed (edited),"

                A restored Sylar seeks out the carnival to obtain a new batch of powers; discovers a new weakness.
            
Show More
"
62,30 rock,hard ball,"

                Jack negotiates Josh's new contract; Tracy awards Kenneth a spot in his entourage; Jenna gets into hot water over a misquote in a popular magazine.
            
Show More
"
63,mr. robot,"hello, elliot","

                Part two of the series finale.
            
Show More
"
64,"murder, she wrote",prediction: murder,"

                A psychic's (David Birney) dire predictions disrupt Jessica's visit to a friend's (Dale Robertson) Arizona ranch.
            
Show More
"
65,mr. robot,eps3.1_undo.gz,"

                Elliot becomes encouraged trying to undo five/nine; Darlene gets stuck between a rock and a hard place; Mr. Robot sparks a panic.
            
Show More
"
66,the face,red carpet ready?,"

                The final six attend a red carpet challenge; they are surprised by celebrity interviewer Wendy Williams.
            
Show More
"
67,mr. robot,410 gone,"

                Fans like Dom and Darlene.
            
Show More
"
68,chicago fire,joyriding,"

                Severide comes across a boy in need of help while out on a jog; Boden and McLeod clash over the future of the firehouse; Mouch and Greg Sullivan debate on Otis' podcast.
            
Show More
"
69,million dollar listing los angeles,real estate on wheels,"

                After taking a fall, Josh Flagg avails himself of a gold-plated wheelchair to find an investment property for his friend; Josh Altman loses a coveted listing in the Hollywood Hills but schemes to get it back.
            
Show More
"
70,good girls,family first,"

                A frustrated Rio takes matters into his own hands; more complications arise as the strip club undertakes some trouble; Dean forges an unexpected alliance with Stan.
            
Show More
"
71,better late than never,seoul brothers,"

                The group travels to South Korea, where it visits a school where hopefuls learn to be Korean pop stars and shoots a video with Girls' Generation; Jeff arranges a stay at a spa that costs only $6 a night; the guys visit the demilitarized zone.
            
Show More
"
72,kitchen nightmares,mill street bistro part 1,"

                Ramsay visits Mill Street Bistro in Ohio to try to turn the eatery around; the restaurant's owner acts like a dictator and has trouble listening to others' viewpoints.
            
Show More
"
73,the king of queens,friender bender,"

                Doug and Carrie's friendship with Deacon and Kelly is tested after Doug is distracted and backs into their car.
            
Show More
"
74,"murder, she wrote",the body politic,"

                Jessica is caught in a game of deadly politics when a close friend's campaign is threatened by scandal.
            
Show More
"
75,little big shots,the grande finale,"

                A 4-year-old worship leader; a singer from Wales; a 10-year-old piano player; a 5-year-old internet sensation; a break dancer; a magician; a brick-breaking karate kid; a hoop dancer; the show's team of kid translators.
            
Show More
"
76,a little late with lilly singh,leslie odom jr.,"

                Actor Leslie Odom Jr.
            
Show More
"
77,jay leno's garage,survival,"

                Action star Frank Grillo shows Jay the tricks of the action trade in the military-grade infantry support vehicle; Jay tries to give self-proclaimed servant of self-harm, Steve-O, a few more souvenir scars during a thrilling tsunami survival test.
            
Show More
"
78,this is us,"this big, amazing, beautiful life","

                Randall and Beth welcome visitors to their home.
            
Show More
"
79,a.p. bio,the perfect date from hell,"
A tornado puts the school on lockdown and Helen believes it's coming specifically for her; the kids pass the time by writing fan fiction, ""shipping"" various combinations of faculty members; Mary, Stef and Michelle devise a plan to escape the school.
"
80,superstore,district manager,"

                The new district manager visits and decides to make some cuts to save money; Amy and Jonah plead with her to not fire anyone and search for other ways to make up the money; Mateo struggles to prove his skills on the cash register.
            
Show More
"
81,revelations,hour five,"

                In Prague, Massey and Sister Jo find a strange box containing a puzzle that may offer clues about the birth of the Antichrist; Haden's followers attack the Sisters of Mercy Convent and comatose Olivia, while Haden attempts to escape from prison.
            
Show More
"
82,grand crew,wine & pie,"

                Noah's dad is in a funk, so he asks Fay to make his favorite pie; Sherm teaches Anthony to play chess; Wyatt introduces the crew to his brother.
            
Show More
"
83,nurses,lifeboat,"

                Ashley and Caro explore past relationships; Keon grapples with Molly's attempts to sideline him; Naz tries to balance her emotional connection to a patient with his medical needs; Wolf is forced to leave his comfort zone and care for a newborn baby.
            
Show More
"
84,girls5eva,b.p.e.,"

                Dawn and Wickie vie for the same solo on the album; Gloria and Summer attempt to clean up their pasts by tracking down copies of an old prank show they made for ""Lifetime Raw.""
            
Show More
"
85,grand crew,wine & serendipity,"

                Nicky takes Noah on a self-care journey; Anthony, Sherm and Wyatt deal with the aftermath of seeing each other cry.
            
Show More
"
86,one team: the power of sports,nice hockey,"
U.S. Paralympian Scout Bassett's training model is providing a path forward for more para-athletics; Corey Robinson visits an Olympic teaching kitchen to roll sushi with a gold medalist; Blake Bolden discusses her path to becoming a hockey legend.
"
87,heroes,homecoming,"

                    Thrilled by his experience with the Avengers, young Peter Parker returns home to live with his Aunt May. Under the watchful eye of mentor Tony Stark, Parker starts to embrace his newfound identity as Spider-Man. He also tries to return to his normal daily routine -- distracted by thoughts of proving himself to be more than just a friendly neighborhood superhero. Peter must soon put his powers to the test when the evil Vulture emerges to threaten everything that he holds dear.
                
Show More
"
88,open house nyc,open house celebrates mother's day (best of),"

                Celebrating Mother's Day in style inside creative homes.
            
Show More
"
89,summer house,cloudy with a chance of arguments,"

                Tensions come to a head during a trip to the beach; Kyle and Amanda discuss moving in together; Carl struggles with meeting his sales quota; the housemates prepare for their annual Fourth of July party; Jordan flirts with both Danielle and Lindsay.
            
Show More
"
90,the profit,killed by kindness,"

                Marcus must help an unbelievably sweet and successful entrepreneur of a local dessert shop in Los Angeles rein in her ideas before her many ventures cause chaos to her delectable empire.
            
Show More
"
91,new amsterdam,we're in this together,"

                Max and Sharpe go public with their relationship at the hospital; the team struggles to keep a handle on an overcrowded and understaffed ICU and everyone must pitch in; Iggy's overly critical feedback alienates his residents.
            
Show More
"
92,mr. robot,eps1.7_wh1ter0se.m4v,"

                Allsafe gets ""pwned""; Dark Army is ready to meet Elliot; Tyrell and Joanna's plan goes into full effect.
            
Show More
"
93,girls5eva,album mode,"

                When Girls5eva lands a record deal, Dawn, Wickie, Summer and Gloria discover how much they're willing to sacrifice for the opportunity.
            
Show More
"
94,royal pains,bottoms up,"

                A Hollywood star wants to revive his career by doing Shakespeare in the Hamptons; Divya learns that Raj is moving on; Jack delays treatment.
            
Show More
"
95,chicago fire,sacred ground,"

                The mattress factory fire spirals out of control; truck and squad lay it on the line in hopes of getting the trapped victims out alive.
            
Show More
"
96,top chef,focus group,"

                Contestants must make a sweet treat without using sugar.
            
Show More
"
97,saved by the bell,no hope with dope,"

                Teenage movie star Johnny Dakota chooses Bayside as the site for an anti-drug commercial. With Mario Lopez and Dustin Diamond.
            
Show More
"
98,kitchen nightmares,sabatiello's,"

                Sammy, the owner of a restaurant in Stamford, Conn., is over $1 million in debt when he asks for chef Gordon Ramsay's help; when Gordon criticizes the food, Sammy's temper flares out of control.
            
Show More
"
99,project runway,the ultimate upcycle,"
With luggage still in tow, the designers are greeted at the TWA Hotel at John F. Kennedy International Airport ready to take flight with their first challenge to create an innovative look inspired by humanity's continued push into space exploration.
"
100,wwe superstars,episode 43,"

                WWE superstars Chris Jericho and Titus O'Neil look for some tanks to fit their larger-than-life personas.
            
Show More
"
101,nurses,risky behaviour,"

                When Naz realizes her patient has a more serious condition than anyone realized, Naz forms a special bond with the patient's cousin; an over-exhausted and under-slept Wolf struggles on the job and draws Damien's wrath.
            
Show More
"
102,mr. robot,eps2.8_h1dden-pr0cess.axx,"

                Elliot wonders if Mr. Robot has been lying to him; Darlene attempts to do the right thing; Dom and the FBI get closer.
            
Show More
"
103,earth odyssey with dylan dreyer,frozen kingdoms,"
Dylan Dreyer travels around the world to find extreme nature in the wild, from monkeys at the highest peaks to polar bears in the coldest regions.
"
104,girls5eva,leave a message if you love me,"

                Gloria becomes obsessed with a mysterious musician; Dawn gets stuck in a plagiarism loop; Summer denies having visited the ""Med"" part of her MedSpa.
            
Show More
"
105,a little late with lilly singh,"natasha leggero, moshe kasher","

                Actress Natasha Leggero; comic Moshe Kasher.
            
Show More
"
106,the king of queens,moxie moron,"

                Doug takes on a supervisory role at IPS to prove to Carrie that he is not content with being a driver for the rest of his life.
            
Show More
"
107,"murder, she wrote",o'malley's luck,"

                Jessica's old friend, NYPD Detective Lt. O'Malley (Pat Hingle), investigates the suspicious suicide of a wealthy New York developer's wife.
            
Show More
"
108,saved by the bell,palm springs weekend - pt 1,"

                Jessie's father invites everyone to his Palm Springs resort to attend his wedding. With Elizabeth Berkley and Mario Lopez.
            
Show More
"
109,a.p. bio,the harvard pen,"

                Jack is enraged to find that the A.P. Bio students have stolen his beloved Harvard pen after he asked them not to touch it; Principal Durbin and Helen repeatedly fail the superintendent's inspections.
            
Show More
"
110,mr. robot,405 method not allowed,"

                Dom has no fun on Chrismas; Darlene and Elliot give a run-around; Krista plays hooky.
            
Show More
"
111,the voice,the blind auditions season premiere,"
The talent is exceptional and the competition fierce as global superstar Camila Cabello claims her red chair alongside returning coaches John Legend, Blake Shelton and Gwen Stefani as they vie to discover and coach the next singing phenomenon.
"
112,joe vs carole,survival of the fittest,"
Carole Baskin, a big cat rescuer, learns that roadside zoo owner Joe Exotic has hired a hit man to murder her; seven years earlier, their rivalry begins when she builds a coalition to shut down his animal show and cub-petting operation.
"
113,the wall,jordan and maurcus,"
The Guy finds a lost canine; a reporter pitches a story about her parents' marriage and inadvertently strains her own relationship when her boyfriend visits for their anniversary weekend; a singing telegram in a bad mood looks for some relief.
"
114,nurses,lady business,"

                Under pressure to steal more drugs, Wolf is forced into an ethical dilemma in which he is turned against his patient; while trying to protect her patient before a major surgery, Ash is forced to confront Sinead about her drinking problems.
            
Show More
"
115,frasier,freudian sleep,"

                When Ronee finds out that Martin mistakenly invited Frasier along on their weekend getaway, she invites Niles and Daphne as well.
            
Show More
"
116,the office,the seminar,"

                Holly and Michael turn Andy's business seminar into an improv challenge; Erin and Gabe compete in a board game battle.
            
Show More
"
117,good girls,nana,"

                Beth agrees to pick up a mysterious package for Rio in order to get back in his good graces; just as Annie finds unexpected support from Josh, she receives devastating news about an old friend; Stan has a surprise for Ruby.
            
Show More
"
118,a.p. bio,katie holmes day,"

                While the rest of the town prepares for the celebration of Toledo's annual Katie Holmes Day, Jack and Marissa plot to ruin the holiday pageant.
            
Show More
"
119,wild child,african animals,"

                Sheinelle Jones travels to Africa to explore the family bonds of the animals who live in the savannah and discover the tightest-knit groups in the entire animal kingdom, from wildebeests to hippos.
            
Show More
"
120,heroes,tabula rasa,"

                Sylar starts on a path to rediscover his true identity; Hiro shows Emma the possibilities that go with having an ability; Peter tries to find a healer for Hiro.
            
Show More
"
121,the office,the list,"

                The staff go into frantic speculation after accidentally discovering a list of their names in a notebook belonging to the mysterious new CEO.
            
Show More
"
122,summer house,should i stay or should i go?,"

                A pub crawl devolves into a serious conflict between the boys, causing Luke to leave the house; Lindsay wonders if she made a mistake when she broke up with Stephen; Kyle surprises Amanda for their two-year engagement anniversary.
            
Show More
"
123,mr. robot,eps2.9_pyth0n-pt1.p7z,"

                Angela makes an acquaintance; Darlene realizes she is in too deep; an old friend reveals everything to Elliot.
            
Show More
"
124,one team: the power of sports,journey to glory,"

                Hitting the ice with sled hockey star Brody Roybal; finding out how to have fun through fitness; discovering diver Jordan Windle's incredible journey to the Olympics; meeting the future and honoring the past of women in motorsports.
            
Show More
"
125,jay leno's garage,limited edition,"

                Jay and talk-show phenom Trevor Noah test-drive the lightning-fast, all-new, all-electric Mercedes EQS.
            
Show More
"
126,chicago fire,my miracle,"

                A warehouse blaze puts the fire and rescue squad at risk; Dawson's father overstays his welcome at Dawson and Casey's home; Casey fights for his first responders bill; Mouch makes a serious decision; Herrmann tries to make a young boy smile.
            
Show More
"
127,superstore,sal's dead,"

                A dead body is discovered in the store on Halloween, causing panic and confusing the shoppers; Amy and Garrett get into trouble using a dating app on Jonah's phone.
            
Show More
"
128,joe vs carole,unwanted animals,"

                Carole Baskin, a big cat rescuer, learns that roadside zoo owner Joe Exotic has hired a hit man to murder her; seven years earlier, their rivalry begins when she builds a coalition to shut down his animal show and cub-petting operation.
            
Show More
"
129,the wall,debbie and ghadir,"

                Debbie, a retired police officer, and Ghadir, a student, are a grandmother and granddaughter duo from Baltimore, Md.; with millions of dollars just a drop away, there is no stopping how far this duo will go.
            
Show More
"
130,american pickers,picking it forward,"

                A Kansas junkyard is packed with rusty old cars, signs and machinery; the guys put picking aside to jump-start a charity auction instead; the construction crew uncovers a costly surprise while breaking ground on the new store addition.
            
Show More
"
131,mr. robot,eps1.4_3xpl0its.wmv,"

                When fsociety arrives at Steel Mountain, the most secure data facility in the country, Elliot needs to get in and out quickly.
            
Show More
"
132,"murder, she wrote",deadly misunderstanding,"

                When Jessica suffers a broken arm, she hires a typist to meet her deadline, but she must clear the woman of a murder charge.
            
Show More
"
133,transplant,roads,"

                Bash helps his undocumented friend Khaled apply for asylum.
            
Show More
"
134,kenan,ghosts of boyfriends past,"

                Kenan believes he should help Mika with her boyfriend troubles, whether she needs it or not; Pam and Gary have a crush on the same woman and risk their friendship to be with her.
            
Show More
"
135,frasier,sharing kirby,"

                Frasier and Niles vie for control of a teenager whose girlfriend is related to a reclusive wine-collector.
            
Show More
"
136,e! true hollywood story,"billionaires: fierce, fearless and filthy rich","

                Billionaires Elon Musk, Jay-Z, and Sara Blakely harnessed their ambition to make a loud mark on the world; revealing interviews share insights on three renegade entrepreneurs who bucked the status quo to amass the world's biggest fortunes.
            
Show More
"
137,pawn stars,the chum system,"

                A nightstick possibly owned by Ulysses S. Grant comes into the shop; a set of vintage skateboard stickers; Chumlee tries to prove that he is a multitasking master.
            
Show More
"
138,superstore,shoplifter rehab,"

                Amy, Jonah and Glenn hatch a plan to make Amy look like a tough boss after she loses face in front of the district manager; Dina recruits Mateo to help her run Cloud 9's shoplifter rehabilitation program -- with a few of Dina's personal tweaks.
            
Show More
"
139,a.p. bio,aces wild,"

                Principal Durbin and Helen sweep lockers; Jack finds out that Anthony has been lying about his extracurricular activities; Jack and Lynette follow Anthony to find out what he's really been up to; the search for Stef's baby donor intensifies.
            
Show More
"
140,good girls,put it all on two,"

                The trio must find a way to smuggle the fake cash, but things are further complicated when Stan gets involved; Annie reluctantly agrees to go to dinner with Kevin; Ruby discovers something horrifying; Beth and Dean reach a breaking point.
            
Show More
"
141,lipstick jungle,"chapter thirteen: the lyin', the bitch and the wardrobe","

                Victory's preparation for the opening of her flagship store is overshadowed by her publicist's extravagant and expensive plans; an up-and-coming vice president puts a damper on Wendy's return to Parador Pictures to pitch a project.
            
Show More
"
142,american pickers,pick your battle,"

                Mike and Danielle pick an over-the-top, tiki-party-meets-rockabilly home, while Frank and Robbie set their sights on a vast collection hidden in the fortified bunkers of an old Army base.
            
Show More
"
143,the king of queens,s'aint valentine's,"

                Doug has to transport penguins to the Albany zoo, forcing him to cancel romantic Valentine's Day plans with Carrie.
            
Show More
"
144,eureka,before i forget,"

                When a world-famous scientist visits Eureka, Carter and Henry realize that they cannot account for blocks of time.
            
Show More
"
145,young rock,don't go breaking my heart,"

                Pennsylvania, 1987: Ata's relationship with Dwayne gets tested after she makes a heartbreaking discovery about her son; with Rocky on the road, Ata must take matters into her own hands.
            
Show More
"
146,the profit,da lobsta,"

                Marcus tries to help the owner of a Chicago lobster shack that is swimming in debt and endangering the business with his irresponsible spending.
            
Show More
"
147,married to medicine,showdown in savannah,"

                Any progress made during Revival Weekend comes to a halt after Mariah's meltdown on the bus; Dr. Jackie reaches her breaking point; Contessa ponders Jackie's advice to pursue couples counseling; Mariah produces the receipts and drug test results.
            
Show More
"
148,million dollar listing los angeles,flagg vs. serhant,"

                Josh Flagg outplays New York real estate agent Ryan Serhant; Heather and Josh meet with a wedding planner who is baffled by their lack of preparation; David and James get a surprising response when they bring their client multiple bids.
            
Show More
"
149,the face,game on!,"
Ice T & CoCo, Elle King, Dierks Bentley and Latto bring their talents to a very special music icons edition, competing in a series of fun challenges, hosted by Kevin Hart.
"
150,nurses,what size are your feet?,"

                Keon gets hazed by Nurse Molly, then gets off on the wrong foot with a patient in handcuffs; Wolf suddenly finds himself under serious financial pressure and considers taking desperate measures.
            
Show More
"
151,listing impossible,episode #07,"

                A fun-loving divorcé in San Clemente can't find a buyer for his home; most likely due to the fact that his flashing LED walls and party-pad décor aren't a great fit for his family-friendly neighborhood.
            
Show More
"
152,mr. robot,eps1.6_v1ew-s0urce.flv,"

                Elliot is missing; the future depends on Mr. Robot pulling fsociety back together; Angela goes head-to-head with an old nemesis.
            
Show More
"
153,30 rock,the baby show,"

                Liz invites her idol (Carrie Fisher) to be a guest writer on the show, but her ideas are too controversial; Kenneth must compete to keep his job.
            
Show More
"
154,eurek,ship happens,"

                Carter fears that Henry's ship may have caused electrical anomalies around town.
            
Show More
"
155,mr. robot,eps3.0_power-saver-mode.h,"

                Elliot realizes his mission, and needs help from Angela; Darlene worries about them coming out clean.
            
Show More
"
156,one team: the power of sports,changing the terrain,"

                Colby Stevenson hits the slopes to illustrate the importance of getting up after a fall; Olympian Jessie Diggins' incredible road to success; how Chanelle Reynolds is making a difference in the NFL; Sam Rapoport's trailblazing path to success.
            
Show More
"
157,pawn stars,chum's secret stash,"

                A 1907 Saint-Gaudens coin makes its way onto the counters; a vintage pair of Ray-Ban sunglasses owned by President George Bush, Sr. comes in; Rick finds Chum's secret stash in the back.
            
Show More
"
158,friday night lights,the march,"

                Coach Taylor feels threatened by budget cuts; Tami flies to Pennsylvania for an opportunity; the Lions embark on their quest for state.
            
Show More
"
159,royal pains,false start,"

                A rookie athlete encourages Hank to give triathlons and online dating a try for himself; Evan and Paige move into the guest house; Jeremiah gets Divya out of a jam.
            
Show More
"
160,american pickers,texas hold 'em,"

                Mike and Frank finally gain access to their white whale pick; the guys encounter a collector who's filled an entire town with his mammoth stockpile.
            
Show More
"
